SYSCALL(args) 		 = return
open("/dev/dtracehelper\0", 0x2, 0x7FFF54B9D920)		 = 3 0
ioctl(0x3, 0x80086804, 0x7FFF54B9D8A8)		 = 0 0
close(0x3)		 = 0 0
thread_selfid(0x3, 0x80086804, 0x7FFF54B9D8A8)		 = 567666 0
bsdthread_register(0x7FFFA5DD31F0, 0x7FFFA5DD31E0, 0x2000)		 = 1073741919 0
ulock_wake(0x1, 0x7FFF54B9CFCC, 0x0)		 = -1 Err#2
issetugid(0x1, 0x7FFF54B9CFCC, 0x0)		 = 0 0
mprotect(0x10B067000, 0x88, 0x1)		 = 0 0
mprotect(0x10B071000, 0x1000, 0x0)		 = 0 0
mprotect(0x10B087000, 0x1000, 0x0)		 = 0 0
mprotect(0x10B088000, 0x1000, 0x0)		 = 0 0
mprotect(0x10B09E000, 0x1000, 0x0)		 = 0 0
mprotect(0x10B069000, 0x1000, 0x1)		 = 0 0
mprotect(0x10B067000, 0x88, 0x3)		 = 0 0
mprotect(0x10B067000, 0x88, 0x1)		 = 0 0
getpid(0x10B067000, 0x88, 0x1)		 = 23995 0
stat64("/AppleInternal/XBS/.isChrooted\0", 0x7FFF54B9CE88, 0x1)		 = -1 Err#2
stat64("/AppleInternal\0", 0x7FFF54B9CF20, 0x1)		 = -1 Err#2
csops(0x5DBB, 0x7, 0x7FFF54B9C9B0)		 = -1 Err#22
sysctl([CTL_KERN, 14, 1, 23995, 0, 0] (4), 0x7FFF54B9CB08, 0x7FFF54B9CB00, 0x0, 0x0)		 = 0 0
csops(0x5DBB, 0x7, 0x7FFF54B9C290)		 = -1 Err#22
socket(0x2, 0x1, 0x6)		 = 3 0
bind(0x3, 0x7FFF54B9EB78, 0x10)		 = 0 0
listen(0x3, 0x80, 0x10)		 = 0 0

